nut_stroke_mm,jaw_closing_angle_deg,dphi_ds_rad_per_mm,dphi_ds_deg_per_mm,d2phi_ds2_rad_per_mm2,d2phi_ds2_deg_per_mm2,jaw_omega_rad_per_s,jaw_omega_deg_per_s,jaw_alpha_rad_per_s2,jaw_alpha_deg_per_s2,joint3_x_mm,joint3_y_mm
3.840000,6.630720,0.032762699,1.877164,0.001647110,0.094372,0.032762699,1.877164,0.001647110,0.094372,-47.836886,28.035114
3.856000,6.660767,0.032789084,1.878676,0.001651052,0.094598,0.032789084,1.878676,0.001651052,0.094598,-47.835111,28.037383
3.872000,6.690838,0.032815533,1.880192,0.001655006,0.094825,0.032815533,1.880192,0.001655006,0.094825,-47.833325,28.039665
3.888000,6.720933,0.032842045,1.881711,0.001658972,0.095052,0.032842045,1.881711,0.001658972,0.095052,-47.831528,28.041961
3.904000,6.751053,0.032868620,1.883233,0.001662951,0.095280,0.032868620,1.883233,0.001662951,0.095280,-47.829720,28.044271
3.920000,6.781197,0.032895259,1.884760,0.001666942,0.095509,0.032895259,1.884760,0.001666942,0.095509,-47.827901,28.046595
3.936000,6.811365,0.032921962,1.886289,0.001670945,0.095738,0.032921962,1.886289,0.001670945,0.095738,-47.826071,28.048932
3.952000,6.841558,0.032948729,1.887823,0.001674962,0.095968,0.032948729,1.887823,0.001674962,0.095968,-47.824230,28.051284
3.968000,6.871775,0.032975561,1.889360,0.001678990,0.096199,0.032975561,1.889360,0.001678990,0.096199,-47.822378,28.053650
3.984000,6.902018,0.033002457,1.890901,0.001683032,0.096431,0.033002457,1.890901,0.001683032,0.096431,-47.820514,28.056029
4.000000,6.932284,0.033029418,1.892446,0.001687086,0.096663,0.033029418,1.892446,0.001687086,0.096663,-47.818639,28.058423
4.016000,6.962576,0.033056444,1.893995,0.001691153,0.096896,0.033056444,1.893995,0.001691153,0.096896,-47.816753,28.060831
4.032000,6.992892,0.033083535,1.895547,0.001695232,0.097130,0.033083535,1.895547,0.001695232,0.097130,-47.814855,28.063252
4.048000,7.023233,0.033110691,1.897103,0.001699325,0.097364,0.033110691,1.897103,0.001699325,0.097364,-47.812947,28.065688
4.064000,7.053599,0.033137913,1.898663,0.001703430,0.097599,0.033137913,1.898663,0.001703430,0.097599,-47.811027,28.068138
4.080000,7.083991,0.033165201,1.900226,0.001707549,0.097835,0.033165201,1.900226,0.001707549,0.097835,-47.809095,28.070602
4.096000,7.114407,0.033192555,1.901793,0.001711680,0.098072,0.033192555,1.901793,0.001711680,0.098072,-47.807152,28.073080
4.112000,7.144848,0.033219975,1.903364,0.001715825,0.098310,0.033219975,1.903364,0.001715825,0.098310,-47.805198,28.075573
4.128000,7.175314,0.033247461,1.904939,0.001719982,0.098548,0.033247461,1.904939,0.001719982,0.098548,-47.803232,28.078080
4.144000,7.205806,0.033275014,1.906518,0.001724153,0.098787,0.033275014,1.906518,0.001724153,0.098787,-47.801255,28.080601
4.160000,7.236323,0.033302634,1.908100,0.001728337,0.099026,0.033302634,1.908100,0.001728337,0.099026,-47.799266,28.083136
4.176000,7.266865,0.033330321,1.909687,0.001732535,0.099267,0.033330321,1.909687,0.001732535,0.099267,-47.797266,28.085686
4.192000,7.297433,0.033358075,1.911277,0.001736745,0.099508,0.033358075,1.911277,0.001736745,0.099508,-47.795254,28.088250
4.208000,7.328026,0.033385897,1.912871,0.001740969,0.099750,0.033385897,1.912871,0.001740969,0.099750,-47.793231,28.090828
4.224000,7.358645,0.033413786,1.914469,0.001745207,0.099993,0.033413786,1.914469,0.001745207,0.099993,-47.791196,28.093421
4.240000,7.389289,0.033441743,1.916071,0.001749458,0.100237,0.033441743,1.916071,0.001749458,0.100237,-47.789149,28.096028
4.256000,7.419959,0.033469769,1.917676,0.001753723,0.100481,0.033469769,1.917676,0.001753723,0.100481,-47.787091,28.098650
4.272000,7.450655,0.033497862,1.919286,0.001758001,0.100726,0.033497862,1.919286,0.001758001,0.100726,-47.785020,28.101287
4.288000,7.481376,0.033526025,1.920900,0.001762293,0.100972,0.033526025,1.920900,0.001762293,0.100972,-47.782939,28.103937
4.304000,7.512124,0.033554256,1.922517,0.001766599,0.101219,0.033554256,1.922517,0.001766599,0.101219,-47.780845,28.106603
4.320000,7.542897,0.033582556,1.924139,0.001770918,0.101466,0.033582556,1.924139,0.001770918,0.101466,-47.778740,28.109283
4.336000,7.573696,0.033610925,1.925764,0.001775252,0.101714,0.033610925,1.925764,0.001775252,0.101714,-47.776623,28.111978
4.352000,7.604521,0.033639364,1.927394,0.001779599,0.101964,0.033639364,1.927394,0.001779599,0.101964,-47.774493,28.114687
4.368000,7.635373,0.033667872,1.929027,0.001783960,0.102213,0.033667872,1.929027,0.001783960,0.102213,-47.772353,28.117411
4.384000,7.666250,0.033696451,1.930664,0.001788336,0.102464,0.033696451,1.930664,0.001788336,0.102464,-47.770200,28.120150
4.400000,7.697154,0.033725099,1.932306,0.001792725,0.102716,0.033725099,1.932306,0.001792725,0.102716,-47.768035,28.122903
4.416000,7.728084,0.033753818,1.933951,0.001797129,0.102968,0.033753818,1.933951,0.001797129,0.102968,-47.765858,28.125671
4.432000,7.759040,0.033782607,1.935601,0.001801547,0.103221,0.033782607,1.935601,0.001801547,0.103221,-47.763669,28.128454
4.448000,7.790023,0.033811467,1.937254,0.001805979,0.103475,0.033811467,1.937254,0.001805979,0.103475,-47.761469,28.131252
4.464000,7.821032,0.033840399,1.938912,0.001810426,0.103730,0.033840399,1.938912,0.001810426,0.103730,-47.759256,28.134065
4.480000,7.852068,0.033869401,1.940574,0.001814887,0.103985,0.033869401,1.940574,0.001814887,0.103985,-47.757031,28.136893
